项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
RF001,PT CNGR Ding Xing New Energy 中伟鼎兴新能源,2024-05-23,经营,DX-zwdx获LME品牌注册,LME公告接受DX-zwdx为可交割原生镍品牌，登记生产企业为PT CNGR Ding Xing New Energy、年能力5万吨。,LME Notice 24/186：DX-zwdx品牌上市,https://www.lme.com/api/sitecore/MemberNoticesSearchApi/Download?id=73383f97-3bc9-4102-852e-2ea9bb476e04
NPI010,PT Infei Metal Industry 英菲金属工业,2024-05—2025-04,资料披露,供应链报告确认持续运营,英菲供应链尽责报告覆盖2024年5月至2025年4月，确认法人及两条RKEF的经营范围。报告未新增冰镍产品，因此仍按NPI项目记录。,Infei供应链尽责报告,https://www.harumenergy.com/cfind/source/files/supply-chain/imi-supply-chain-due-diligence-report.pdf
MHP013,PT ESG New Energy Material ESG新能源材料,2024-06,股权,MIA对ESG权益升至60%,MBMA年报披露中间公司MIA对ESG的权益由初始55%提高至60%并引入Arniko；MBMA持MIA 45%，故经此链有效权益为27%，不是直接60%。,MBMA Annual Report 2025,https://assets.merdekabattery.com/dist/documents/MBMA_AR_2025_30%20April.pdf
P12,PT Vale Indonesia Tbk 淡水河谷索罗瓦科高冰镍项目,2024-06-28,股权,PT Vale Indonesia股份交易完成,住友金属矿山完成PT Vale Indonesia股份减持，同时保留承购年度高冰镍产量20%的权利和义务，其余约80%继续由Vale Canada承接。,住友金属矿山：PT Vale Indonesia股份交易及承购安排,https://www.smm.co.jp/news/release/uploaded_files/20240701_JP.pdf
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,2024-07,经营,再次进入停产维护,First Quantum因市场环境再次暂停生产，2026—2028展望仍按维护状态安排，项目不应计入正常在产MHP供应。,First Quantum2025年报,https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf
NPI041,PT Obsidian Stainless Steel (OSS) 德龙二期,2024-07,股权,历史股权结构获文件确认,商务部归档材料确认OSS历史上由象屿集团持51%、江苏德龙持49%；该比例属于历史结构，德龙重整后的最终权益仍需更新文件。,商务部归档反倾销调查披露,https://picpolicy.mofcom.gov.cn/file/20240725/93111721871609921.pdf
NPI067,PT Kalimantan Ferro Industry (KFI) 加里曼丹铁业,2024-07,经营,现场确认三炉运行,东加里曼丹议会2024年7月现场访问资料称已有三炉运行，为分期投运提供政府现场证据；这一数量不能外推为六炉全部投产。,东加里曼丹议会现场访问,https://dprd.kaltimprov.go.id/post/monitoring-tenaga-kerja-di-perusahaan-pansus-p3tkl-kunjungi-pt-kalimantan-ferro-industry
MHP017,PT Excelsior Nickel Cobalt (ENC) 晨曦镍钴,2024-07-31,建设,提前投资后端精炼设施,公司根据潜在客户对阴极镍和硫酸镍的反馈，提前支付投资款以加快后端精炼设施建设；该市场反馈不等于已签订最终销售合同。,Nickel Industries 2024年第二季度报告：提前投入镍盐与阴极镍建设,https://nickelindustries.com/carbon/assets/0007e8/000007/2754396.pdf
NPI051,PT Shuoshi Indonesia Investment 华宝硕石镍铁,2024-08-24,投产,105万吨镍铁项目全线投产,振石披露硕石105万吨镍铁项目于8月24日实现全线投产，并在年内达到设计运行水平。项目的完整产线投入运行，加强了集团在印尼的镍铁供应与不锈钢原料配套。,振石集团原稿转载：中国铁合金网，硕石项目全面达产，2024年12月18日,https://www.ferro-alloys.com/News/Details/328236
MHP011,PT QMB New Energy Materials 青美邦新能源材料,2024-09,投产,二期达到设计运行,格林美项目进展公告及半年报记载，青美邦二期于2024年9月达到设计运行，新增每年2.5万镍吨，使全厂HPAL能力增至6.5万镍吨。,格林美印尼湿法项目进展公告,https://gemchina.com/uploadfiles/2025/06/20250610174613227.pdf
MHP014,PT Meiming New Energy Material (MNEM) 美明新能源材料,2024-10,投产,美明完成主要工程并投料出产品,格林美项目进展公告称美明于2024年10月完成主要建设并投料产出产品，形成首次出料证据；MBMA仍把年末描述为调试阶段。,格林美印尼湿法项目进展公告（官网原件）,https://gemchina.com/uploadfiles/2025/06/20250610174613227.pdf
NPI058,PT Aneka Tambang Tbk — Pomalaa 安塔姆波马拉镍铁厂,2024-10,经营,150MVA电网供电商业运行,PLN为Pomalaa提供的150MVA电力在2024年10月进入商业运行，为既有电炉提供稳定电网电力，并服务ANTAM的减排安排。,ANTAM减排及供电公告,https://www.antam.com/en/news-and-events/article/antam-maximizes-greenhouse-gas-emission-reduction-to-maintain-sustainability
NPI059,PT Artha Mining Industry 阿尔塔矿业,2024-10,规划,仍列后续冶炼项目,印尼央行国家投资介绍把Artha继续列于后续冶炼项目清单，说明项目仍处开发或建设序列；材料没有确认首产。,印尼央行国家投资介绍,https://www.bi.go.id/en/iru/presentation/Documents/Republic%20of%20Indonesia%20Presentation%20Book%20-%20October%202024.pdf
RF002,PT Eternal Nickel Industry 永恒镍业,2024-10-15,投产,已出现阴极镍生产批次,LME申请材料的产品标签显示2024年10月15日已有PTENICO全板阴极镍批次；这证明产品出现，但准确首批合格品日期仍需企业公告。,LME Notice 25/193 — Application to List Primary Nickel Brand PTENICO,https://www.lme.com/-/media/BRANDS-25-193-APPLICATION-TO-LIST-PRIMARY-NICKEL-BRAND-PTENICO.pdf
NPI044,PT Nadesico Nickel Industry (NNI) 德龙四期,2024-10-27,建设,转炉烘炉,NNI高冰镍转换项目开始转炉烘炉，进入首产前的热态准备阶段；烘炉是调试里程碑，不代表当日已有合格产品或稳定产量。,中伟NNI高冰镍首产,https://www.cngrgf.com.cn/gsxw/1381.html
NPI044,PT Nadesico Nickel Industry (NNI) 德龙四期,2024-11-05,投产,转炉进料,NNI转换项目在完成烘炉后向转炉投入原料，为次日首批高冰镍产出作准备；进料节点和实际首产日期分开记录。,中伟NNI高冰镍首产,https://www.cngrgf.com.cn/gsxw/1381.html
NPI044,PT Nadesico Nickel Industry (NNI) 德龙四期,2024-11-06,投产,高冰镍首产,中伟公告NNI转换项目产出首批高冰镍，确认项目由NPI相关冶炼向高冰镍产品延伸；首产不等于设计能力已经稳定实现。,中伟NNI高冰镍首产,https://www.cngrgf.com.cn/gsxw/1381.html
NPI046,PT Karunia Permai Sentosa (KPS) 力勤哈利达KPS镍铁项目,2024-12,投产,首批生产线陆续投运,KPS自2024年12月起按生产线分批投运，项目由建设转入爬坡；这一日期只确认部分装置开始运行，不代表十二条线已全部投产。,力勤资源2026中期报告,https://ir-upload.realxen.net/iis/2245/uploads/iis/2026/12330820-0.PDF
MHP026,PT Anugrah Neo Energy Materials 尼奥能源湿法项目,2024-12-24,合同,与ENFI签署EPC框架,ANEM与ENFI签署HPAL及硫磺制酸、生活区和配套设施EPC框架，纠正原表写成2025年12月的日期；框架约定后续转正式协议。,ANEM与ENFI签署EPC框架,https://neoenergy.co.id/pt-anem-and-enfi-sign-framework-agreement-for-epc-development-of-hpal-smelter-and-supporting-facilities-in-morowali
MHP013,PT ESG New Energy Material ESG新能源材料,2024-12第一周,投产,首条2万镍吨线调试,ESG首条年产2万镍吨HPAL线进入调试，标志项目由建设转向试运行；该时点不能把后续第二条线或总规划能力一并视为投产。,MBMA Annual Report 2025,https://assets.merdekabattery.com/dist/documents/MBMA_AR_2025_30%20April.pdf
MHP005,PT Obi Nickel Cobalt (ONC) 奥比镍钴湿法三期,2025,投产,三条生产线全部运行,力勤2025年报确认ONC三条生产线均已运行，项目形成完整生产范围；披露未给出每条线首产日及MHP外售和岛内加工比例。,力勤资源2025年报,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001098.pdf
MHP007,PT Sulawesi Nickel Cobalt (SLNC) 苏拉威西镍钴,2025,合同,签订二十年供矿协议,SLNC与SCM签订自调试日起二十年的供矿协议，为HPAL项目配置长期褐铁矿来源。合同确认供应安排，不代表整厂已产出MHP。,MBMA 2025年年度报告,https://assets.merdekabattery.com/dist/documents/MBMA_AR_2025_30%20April.pdf
MHP011,PT QMB New Energy Materials 青美邦新能源材料,2025,投产,硫酸镍晶体生产启动,格林美在2025年春节项目报道中明确表示，青美邦硫酸镍晶体生产已经启动；该节点由项目公司新闻支持，不引用MBMA年报替代。,GEM：QMB在2025年春节启动硫酸镍晶体生产,https://en.gem.com.cn/CompanyNews/info_itemid_7606.html
MHP014,PT Meiming New Energy Material (MNEM) 美明新能源材料,2025,经营,项目进入运行阶段,MBMA 2025年报确认美明已进入运行阶段并使用SCM褐铁矿生产MHP；单厂实际产量和股东承购分配仍未完整披露。,MBMA Annual Report 2025,https://assets.merdekabattery.com/dist/documents/MBMA_AR_2025_30%20April.pdf
MHP015,PT Green Eco Nickel (GEN) 格林爱科镍业,2025,股权,GEN股权调整完成,格林美股权转让公告及经营者集中公示显示，调整后EcoPro体系合计持有38%、格林美持有29%，GEN不再由格林美单独控制。,格林美2025年股权转让公告,https://file.finance.sina.com.cn/211.154.219.97%3A9494/MRGG/CNSESZ_STOCK/2025/2025-1/2025-01-04/10694262.PDF
MHP021,PT Ceria Kobalt Indotama (CKI) 塞里亚科巴尔特镍钴项目,2025,资料披露,招聘信息显示项目仍在筹备,Ceria在2025年以CKI名义招聘HPAL尾矿工程师，表明项目团队和工程准备仍在推进；现有来源尚未出现首批MHP或商业运行公告。,Ceria官方CKI招聘,https://www.linkedin.com/posts/ceria-nugraha-indotama_hiring-hpal-nikel-activity-7321388595297083393-4CIx
MHP049,Murrin Murrin Operations / Minara Resources 穆林穆林镍钴项目,2025,经营,在产但产量下降,Glencore全年生产报告显示Murrin Murrin仍有实际生产但产量下降；集团总量不能直接写成本厂名义能力，最新逐月负荷仍待核。,Glencore2025生产报告,https://www.glencore.com/media-and-insights/news/full-year-2025-production-report
NPI015,PT Perkasa Metal Industry 佩尔卡萨金属工业,2025,资料披露,继续列入省级工业企业名录,2025年度官方大型企业名录继续列示Perkasa，显示其工业主体持续登记；最新炉况、有效能力与产品分配仍缺同期一手披露。,北马鲁古省工业贸易厅2025年SIINas大型企业名录,https://satudata.malutprov.go.id/dataset/document/798
NPI017,PT Lipe Metal Industry 利佩金属工业,2025,资料披露,继续列入省级大型工业企业名录,北马鲁古省2025年大型工业企业名录继续列出Lipe，确认工业主体持续登记；该资料仍不能替代首产、验收或实际产量证据。,北马鲁古省2025年大型工业企业名录,https://satudata.malutprov.go.id/dataset/document/798
NPI018,PT Maluku Utara Metal Industry 北马鲁古金属工业,2025,资料披露,官方名录继续列示,2025年度省级大型企业名录继续列示该公司，结合出口记录可确认持续商业活动；仍不能仅据买方为青山体系就认定股权控制。,北马鲁古省工业贸易厅2025年SIINas大型企业名录,https://satudata.malutprov.go.id/dataset/document/798
NPI024,PT Lancon Metal Industry 澜凯金属工业,2025,资料披露,列入省级大型工业名录,北马鲁古省2025年度SIINas名录继续列示Lancon，确认其在IWIP的工业主体地位；直接股东、分厂设备数量和各品种负荷仍待原件。,北马鲁古省工业贸易厅2025年SIINas大型企业名录,https://satudata.malutprov.go.id/dataset/document/798
NPI038,PT Hengjaya Nickel Industry (HNI) 恒嘉镍业,2025,经营,经营主线回到NPI,Nickel Industries 2025年报将恒嘉当期生产重新以NPI为主线披露，说明历史低冰镍阶段不能自动延续为当前产品结构。,NIC 2025 Annual Report,https://nickelindustries.com/carbon/assets/0007ea/000004/2025-Annual-Report.pdf
NPI057,PT Metal Smeltindo Selaras (MSS) 青岛中程MSS镍铁项目,2025,合同,码头装卸委托合同披露,上市公司披露TJA与MSS签订码头装卸委托合同，支持MSS持续存在物资物流活动；该合同是物流服务安排，不应写成NPI承购或委托冶炼协议。,青岛中程2025-017码头装卸关联交易公告,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/c2cae7320d049806ec5a41a24f73377a.PDF
NPI059,PT Artha Mining Industry 阿尔塔矿业,2025,规划,列入国家战略项目清单,经济统筹部长第16号清单具名列出Bombana的Artha项目；国家战略项目列名反映政策地位，不等于项目建成或投入商业生产。,印尼经济统筹部长2025年第16号PSN清单,https://peraturan.bpk.go.id/Download/392383/2025PermenkoEkon016.pdf
P02,PT Zhongtsing New Energy 中青新能源,2025,经营,出现高冰镍商业发货,现有出口样本确认中青在2025年已有高冰镍发货，说明相关产品并非始于2026年；样本未提供足够证据把第一票出口认定为厂内首产。,中伟2026半年报；本地M01全文复核,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-25/53856f2b-83a4-477b-913d-79194ee16cf7.PDF
P41,ANTAM–CNGR Nickel Matte Project 安塔姆与中伟冰镍合资规划,2025,规划,原计划目标年份,早期资料把2025列为项目目标年份，但截至研究截点未取得建设完成或首产公告；该年份仅保留为历史规划，不升级为投产事件。,I39,https://www.antam.com/downloads/cngr-and-antam-sign-framework-agreement-for-the-development-of-nickel-ore-industrial-area
MHP007,PT Sulawesi Nickel Cobalt (SLNC) 苏拉威西镍钴,2025-01,建设,SLNC项目开工,MBMA披露SLNC于2025年1月开工，按四个阶段建设、每阶段2.25万镍吨，并以SCM褐铁矿为原料。分期规划不能提前计作现有产能。,MBMA：SLNC扩建HPAL能力,https://assets.merdekabattery.com/dist/documents/250224_MBMA_SLNC_HPAL_vF.pdf
MHP045,Coral Bay Nickel Corporation (CBNC) 珊瑚湾镍业,2025-01,股权,住友宣布收购剩余15.625%权益,住友金属矿山宣布收购Nickel Asia持有的Coral Bay 15.625%权益；公告是交易启动节点，不能直接写成当月已完成全资化。,住友金属矿山收购Coral Bay剩余权益公告,https://www.smm.co.jp/news/release/2025/01/001933.html
NPI024,PT Lancon Metal Industry 澜凯金属工业,2025-01,资料披露,组合项目投产口径,行业运行表将Lancon/Cosan组合RKEF—转炉高冰镍项目投产阶段列为2025年1月；因2024年已有出货，该日期不能覆盖更早商业活动，也不能逐炉套用。,国贸期货：高冰镍项目运行表,https://www.itf.com.cn/upfile/news/2026/1/14/2026114937182251.pdf
RF004,PT Indonesia Qingmei Energy Materials (IQEM) 印尼青美能源材料,2025-01,规划,前驱体扩产计划公告,格林美披露印尼青美原3万吨高镍三元前驱体能力已经建成，并计划扩大至5万吨；该数值是前驱体产品重量，不是硫酸镍能力。,格林美：印尼青美前驱体扩产公告（2025年1月）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10694261&stockid=002340
